Type,Name,Title,Link,Author,AuthorGH,ScreenshotUrl,Description,SP2019,Categories,ColumnTypes,Tokens,Operators,Actions,Features,Classes
View,advent-calendar,Advent Calendar,https://github.com/pnp/List-Formatting/tree/master/view-samples/advent-calendar,Tetsuya Kawahara,tecchan1107,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/advent-calendar/assets/screenshot.gif,This sample demonstrates an advent calendar where you can click on the present box of the day to see the presents.,,SVG|Inline Editing|Gallery,,@now,getDate,setValue,hideSelection,ms-bgColor-themeLighter
View,alternating-rows,Alternating Rows,https://github.com/pnp/list-formatting/tree/master/view-samples/alternating-rows,Chris Kent,thechriskent,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/alternating-rows/assets/screenshot.png,Highlights every other row using theme colors.,,,,@rowIndex,,,additionalRowClass,ms-bgColor-themeLight--hover|ms-bgColor-themeLighter
View,announcements,Announcements,https://github.com/pnp/list-formatting/tree/master/view-samples/announcements,David Ramalho,DRamalho92,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/announcements/assets/screenshot.png,This sample formats your view to look like a Announcements card with a similiar style to Viva Connection Cards when on a SharePoint Page. In Microsoft Lists it will also show an image that you can connect with the Announcement.,,Icons|Hover Cards,,@now,,,customCardProps|beakStyle|directionalHint|hideSelection|hideColumnHeader|rowFormatter,
View,annual-performance-review,Annual Performance Review,https://github.com/pnp/List-Formatting/tree/master/view-samples/annual-performance-review,Watana,watana2,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/annual-performance-review/assets/screenshot.png,This sample demonstrates how to change row data to column format for annual performance review form.,,CommandBar Customization|Icons|Inline Editing|Grouped,,@group.fieldData,Number|toString|getUserImage,setValue,groupProps|hideSelection|hideColumnHeader|rowFormatter|headerFormatter,ms-fontColor-red--hover
View,average-rating-rowclass,Average Rating Row Class,https://github.com/pnp/List-Formatting/tree/master/view-samples/average-rating-rowclass,Tetsuya Kawahara,tecchan1107,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/average-rating-rowclass/assets/screenshot.png,This sample demonstrates how to change the background color of a row based on Average Rating.,,,,,,,additionalRowClass,ms-bgColor-themeLighter
View,bar-code,Bar Code Row Formatter,https://github.com/pnp/list-formatting/tree/master/view-samples/bar-code,Sai Bandaru,saiiiiiii,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/bar-code/assets/screenshot.png,This sample uses SharePoint List Formatting to automatically generate Bar code for each list item based on the Title field.,,,,,,,rowFormatter|hideColumnHeader,
View,bar-graph,Bar Graph,https://github.com/pnp/list-formatting/tree/master/view-samples/bar-graph,Anoop Tatti,anoopt,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/bar-graph/assets/screenshot.png,This sample shows how to format a list to show the data as a bar graph.,,Icons|Charts,,@rowIndex,,,hideSelection|hideColumnHeader|rowFormatter,ms-bgColor-themePrimary--hover|ms-bgColor-themeLighterAlt|ms-bgColor-themeDarker|ms-fontColor-themeDark|ms-fontColor-white|ms-fontColor-white--hover|ms-font-m
View,bar-option-picker,Bar Option Picker,https://github.com/pnp/list-formatting/tree/master/view-samples/bar-option-picker,André Lage,aaclage,https://raw.githubusercontent.com/pnp/list-formatting/master/view-samples/bar-option-picker/assets/screenshot.gif,"This sample displays a bar with multiple options. When an option on the bar is clicked, the Value column is updated to the corresponding value (0-4) using setValue.",,Inline Editing,,,Number|length,setValue,hideSelection|hideColumnHeader|rowFormatter,ms-fontSize-42|ms-fontSize-20
View,birthdays,Birthdays,https://github.com/pnp/list-formatting/tree/master/view-samples/birthdays,April Dunham,aprildunnam,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/birthdays/assets/screenshot.png,This sample shows how to format a list to show upcoming employee birthdays.,,Icons,,@currentWeb|@now,,,hideSelection|rowFormatter,ms-bgColor-themeLighterAlt|ms-fontColor-themePrimary--hover|ms-fontColor-neutralPrimary|ms-fontColor-neutralSecondary|ms-fontColor-neutralTertiary|ms-fontWeight-regular|ms-fontWeight-semibold|ms-fontWeight-semilight|ms-fontSize-l|ms-fontSize-m|ms-fontSize-s|ms-fontSize-xs
View,board-tags,Board Tags,https://github.com/pnp/list-formatting/tree/master/view-samples/board-tags,André Lage,aaclage,https://raw.githubusercontent.com/pnp/List-Formatting/master/view-samples/board-tags/assets/screenshot.gif,"This sample displays a formatted card in a board view that enables tagging, updating card dates, menu options to reorder cards within their category, sharing links, flag (focus colors), assigning a user, and minimizing/expanding the card. This List format also uses embedded action to open custom Power Apps with parameters for digital signature of user and report generator.",,Icons|Inline Editing|Hover Cards|Board|Gallery,,@currentWeb,toString|loopIndex|toLocaleDateString|indexOf|length|getUserImage|substring|getDate|getMonth|getYear|lastIndexOf|replace,defaultClick|setValue|share|delete|editProps|embed,forEach|inlineEditField|columnFormatterReference|defaultHoverField|customCardProps|directionalHint|hideSelection,ms-bgColor-themePrimary|ms-bgColor-neutralLight|ms-bgColor-neutralLighter--hover|ms-bgColor-white|ms-bgColor-gray30--hover|ms-fontColor-themePrimary|ms-fontColor-themeTertiary--hover|ms-fontColor-neutralSecondary|ms-fontColor-white|ms-fontColor-gray100|ms-fontWeight-bold|ms-fontSize-20|ms-fontSize-16|ms-fontSize-12|ms-fontSize-10|sp-css-backgroundColor-neutralLighterAlt|sp-card-personCallout|sp-card-container|sp-card-keyboard-focusable|sp-card-userContainer|sp-card-userThumbnail|sp-card-userOthers|sp-card-userTitle|sp-card-userCustomCard|sp-card-container-noPadding|sp-field-italic
